"dryad_dataset_doi","dryad_version_id","dryad_file_id","source_file_path","original_row_number","scrubbed_species_binomial","raw_taxon","trait_name","raw_trait_name","trait_value","raw_trait_value","unit","raw_unit","standard_unit","expected_unit_class","latitude","longitude","elevation_m","date_collected","source_column_taxon","source_column_trait_name","source_column_trait_value","source_column_unit","qa_flags"
"doi:10.5061/dryad.t1rv6",3532,21709,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_data_JAPPL-2017-00852.csv",79,,"CA","wood_density","wood.density","0.607","0.607","g_per_cm3",,"g_per_cm3","density",,,,,"species","wood.density","wood.density",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.t1rv6",3532,21709,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_data_JAPPL-2017-00852.csv",6390,,"FB","wood_density","wood.density","0.481","0.481","g_per_cm3",,"g_per_cm3","density",,,,,"species","wood.density","wood.density",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.t1rv6",3532,21709,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_data_JAPPL-2017-00852.csv",4850,,"SC","wood_density","wood.density","0.672","0.672","g_per_cm3",,"g_per_cm3","density",,,,,"species","wood.density","wood.density",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.t1rv6",3532,21709,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_data_JAPPL-2017-00852.csv",554,,"FB","wood_density","wood.density","0.481","0.481","g_per_cm3",,"g_per_cm3","density",,,,,"species","wood.density","wood.density",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.t1rv6",3532,21709,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_data_JAPPL-2017-00852.csv",3650,,"FB","wood_density","wood.density","0.481","0.481","g_per_cm3",,"g_per_cm3","density",,,,,"species","wood.density","wood.density",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.t1rv6",3532,21710,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_trait_data_JAPPL-2017-00852.csv",4,,"CO","seed_mass","Seed mass","7650","7650","mg",,"mg","mass",,,,,"species","Seed mass","Seed mass",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.t1rv6",3532,21710,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_trait_data_JAPPL-2017-00852.csv",23,,"SK","seed_mass","Seed mass","5321.3","5321.3","mg",,"mg","mass",,,,,"species","Seed mass","Seed mass",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.t1rv6",3532,21710,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_trait_data_JAPPL-2017-00852.csv",11,,"FO","seed_mass","Seed mass","0.44","0.44","mg",,"mg","mass",,,,,"species","Seed mass","Seed mass",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.t1rv6",3532,21710,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_trait_data_JAPPL-2017-00852.csv",12,,"FS","seed_mass","Seed mass","0.21","0.21","mg",,"mg","mass",,,,,"species","Seed mass","Seed mass",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.t1rv6",3532,21710,"DryadPlantTraits/output/downloads/v3532/Charles_et_al_trait_data_JAPPL-2017-00852.csv",17,,"ME","wood_density","wood density","0.524","0.524","g_per_cm3",,"g_per_cm3","density",,,,,"species","wood density","wood density",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.0st06f0",8837,39115,"DryadPlantTraits/output/downloads/v8837/Plant traits Vandelook et al Oikos.csv",1562,,"Sonchus_palustris","seed_mass","seed mass","0.58","0.58","mg",,"mg","mass",,,,,"Species","seed mass","seed mass",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.0st06f0",8837,39115,"DryadPlantTraits/output/downloads/v8837/Plant traits Vandelook et al Oikos.csv",779,,"Parietaria_officinalis","plant_height","plant height","120","120","m",,"m","length",,,,,"Species","plant height","plant height",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.0st06f0",8837,39115,"DryadPlantTraits/output/downloads/v8837/Plant traits Vandelook et al Oikos.csv",89,,"Sparganium_natans","seed_mass","seed mass","3.2577","3.2577","mg",,"mg","mass",,,,,"Species","seed mass","seed mass",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.0st06f0",8837,39115,"DryadPlantTraits/output/downloads/v8837/Plant traits Vandelook et al Oikos.csv",1608,,"Senecio_sylvaticus","seed_mass","seed mass","0.25","0.25","mg",,"mg","mass",,,,,"Species","seed mass","seed mass",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.0st06f0",8837,39115,"DryadPlantTraits/output/downloads/v8837/Plant traits Vandelook et al Oikos.csv",382,,"Phleum_hirsutum","plant_height","plant height","90","90","m",,"m","length",,,,,"Species","plant height","plant height",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",198,"Chomelia spinosa","Chomelia spinosa","specific_leaf_area","SLA",,,"mm2_per_mg",,"mm2_per_mg","ratio",,,,,"species","SLA","SLA",,""
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",98,"Guazuma ulmifolia","Guazuma ulmifolia","specific_leaf_area","SLA","123.4493489","123.4493489","mm2_per_mg",,"mm2_per_mg","ratio",,,,,"species","SLA","SLA",,""
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",225,"Zanthoxylum setulosum","Zanthoxylum setulosum","leaf_dry_matter_content","LDMC",,,"mg_per_g",,"mg_per_g","ratio",,,,,"species","LDMC","LDMC",,""
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",34,"Byrsonima crassifolia","Byrsonima crassifolia","specific_leaf_area","SLA","62.58827712","62.58827712","mm2_per_mg",,"mm2_per_mg","ratio",,,,,"species","SLA","SLA",,""
"doi:10.5061/dryad.s8f38",13999,52417,"DryadPlantTraits/output/downloads/v13999/FEBuzzardSpTraits.csv",158,"Alibertia edulis","Alibertia edulis","specific_leaf_area","SLA","126.5703198","126.5703198","mm2_per_mg",,"mm2_per_mg","ratio",,,,,"species","SLA","SLA",,""
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpVoSRuq/dryad_extract_c4fe18bb8328/File_2.txt",29,,"Poa_pratensis","plant_height","Height","30","30","m",,"m","length",,,,,"Species","Height","Height",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpVoSRuq/dryad_extract_c4fe18bb8328/File_2.txt",40,,"Vaccinium_myrtillus","plant_height","Height","20","20","m",,"m","length",,,,,"Species","Height","Height",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpVoSRuq/dryad_extract_c4fe18bb8328/File_2.txt",2,,"Agrostis_capillaris","plant_height","Height","26.4","26.4","m",,"m","length",,,,,"Species","Height","Height",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpVoSRuq/dryad_extract_c4fe18bb8328/File_2.txt",12,,"Danthonia_decumbens","plant_height","Height","15","15","m",,"m","length",,,,,"Species","Height","Height",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.5j618",15847,56053,"/var/folders/hh/hv60fv4x0nb1zhgd0y12pzq80000gn/T//RtmpVoSRuq/dryad_extract_c4fe18bb8328/File_2.txt",8,,"Capsella_bursa_pastoris","plant_height","Height","17.5","17.5","m",,"m","length",,,,,"Species","Height","Height",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.tv652",17734,59459,"DryadPlantTraits/output/downloads/v17734/trait_publish.csv",9,"Boronia ledifolia","Boronia ledifolia","wood_density","wood_density","0.75","0.75","g_per_cm3",,"g_per_cm3","density",,,,,"genus_species","wood_density","wood_density",,""
"doi:10.5061/dryad.tv652",17734,59459,"DryadPlantTraits/output/downloads/v17734/trait_publish.csv",3,"Allocasuarina littoralis","Allocasuarina littoralis","leaf_n","leaf_N","13.0842","13.0842","mg_per_g",,"mg_per_g","concentration",,,,,"genus_species","leaf_N","leaf_N",,""
"doi:10.5061/dryad.tv652",17734,59459,"DryadPlantTraits/output/downloads/v17734/trait_publish.csv",19,"Eucalyptus portuensis","Eucalyptus portuensis","wood_density","wood_density","0.63","0.63","g_per_cm3",,"g_per_cm3","density",,,,,"genus_species","wood_density","wood_density",,""
"doi:10.5061/dryad.tv652",17734,59459,"DryadPlantTraits/output/downloads/v17734/trait_publish.csv",24,"Eucalyptus tenuiramis","Eucalyptus tenuiramis","leaf_n","leaf_N","17.1047619","17.1047619","mg_per_g",,"mg_per_g","concentration",,,,,"genus_species","leaf_N","leaf_N",,""
"doi:10.5061/dryad.tv652",17734,59459,"DryadPlantTraits/output/downloads/v17734/trait_publish.csv",29,"Hakea teretifolia","Hakea teretifolia","wood_density","wood_density","0.66","0.66","g_per_cm3",,"g_per_cm3","density",,,,,"genus_species","wood_density","wood_density",,""
"doi:10.5061/dryad.cb13r",19478,65804,"DryadPlantTraits/output/downloads/v19478/CommunityWeightedMeans.csv",48,,,"seed_mass","seed.mass","0.375400043","0.375400043","mg",,"mg","mass",,,,,,"seed.mass","seed.mass",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.cb13r",19478,65804,"DryadPlantTraits/output/downloads/v19478/CommunityWeightedMeans.csv",4,,,"seed_mass","seed.mass","0.321555739","0.321555739","mg",,"mg","mass",,,,,,"seed.mass","seed.mass",,"SPECIES_UNRESOLVED"
"doi:10.5061/dryad.cb13r",19478,65804,"DryadPlantTraits/output/downloads/v19478/CommunityWeightedMeans.csv",26,,,"plant_height","height","0.408639006","0.408639006","m",,"m","length",,,,,,"height","height",,"SPECIES_UNRESOLVED"
