"source_provider","provider_dataset_id","provider_file_id","file_path","file_size","mime_type","file_status","download_href","candidate_score","candidate_keep","query_term","source_title","source_authors","source_subjects","source_abstract","file_supported_tabular","file_supported_container","query_source"
"scientific_data","10.1038/s41597-026-07023-7","figshare::29755535::SMC-LUD Liver Ultrasound Dataset (HCC vs Hemangioma).zip","SMC-LUD Liver Ultrasound Dataset (HCC vs Hemangioma).zip",1328048074,,,"https://ndownloader.figshare.com/files/61675561",,TRUE,"plant functional trait","SMC-LUD: Liver Ultrasound Dataset (HCC vs Hemangioma)",,"liver ultrasound; ultrasound","The dataset consists of 5,466 anonymized 2D B-mode ultrasound images categorized into two classes. The distribution of images for training and testing is detailed in [Table 1].

The full dataset, including class labels and metadata, is publicly available in a data repository under a CC-BY license. It is organized into two main directories according to class: hepatocellular carcinoma (HCC), hemangioma. Within each class directory, images are further grouped by patients, with each patient assigned a unique subdirectory containing all associated ultrasound images.

Data Availability
The dataset generated and analyzed during the current study is publicly available for non-commercial research use only, in consideration of patient privacy. This study was approved by the Data Review Board of Samsung Medical Center (SMC) (DRB No. 2025-0111).


Table 1. Dataset Classes

Diagnosis

Subgroup

No. of Patients

No. of Images

Train

Validation

Test

Hemangioma

Clean

323

1,267

886

253

128

Caliper

374

1,402







Subtotal

422

2,669







HCC

Clean

421

1,389

972

277

178

Caliper

557

1,327







Subtotal

600

2,716







Clean (Trained)

744

2,656

1,858

530

306

Total



1,021

5,385

3,769

1,076

540



A metadata file in CSV format is provided, containing the following columns: patient_id, image_filename, class_label, and additional clinical or acquisition metadata as available. Each row in the CSV file corresponds to a single image and provides the relevant annotation and metadata.

Table 2. Patient and Tumor Characteristics

Characteristic

HCC (patients=600)

Hemangioma (patients=421)

Demographics

Age, years

66.65 ± 11.02 (20–90)

55.50 ± 12.76 (30–90)

Sex, male

491 (81.8%)

174 (41.3%)

Sex, female

109 (18.2%)

247 (58.7%)

Height, cm

163.57 ± 16.39

163.72 ± 8.45

Weight, kg

67.44 ± 11.24 (42–104)

63.85 ± 12.95 (34–118)

Tumor characteristics

Max diameter, cm

2.90/2.10/4.50(Median/Q1/Q3)

–

UICC stage (2000)

pT1

58 (9.7%)

–

pT2

120 (20.0%)

–

pT3

353 (58.8%)

–

pT4

69 (11.5%)

–

AJCC stage (2010)

pT1

164 (27.3%)

–

pT2

393 (65.5%)

–

pT3

22 (3.7%)

–

pT4

21 (3.5%)

–",FALSE,TRUE,"figshare_reverse"
"scientific_data","/10.1038/sdata.2018.178","figshare::32102590::Table 1_Development of a prediction model for acute kidney injury in critically ill patients with advanced colorectal cancer based on white blood cell.docx","Table 1_Development of a prediction model for acute kidney injury in critically ill patients with advanced colorectal cancer based on white blood cell.docx",13341,,,"https://ndownloader.figshare.com/files/64022089",,TRUE,"plant functional trait","Table 1_Development of a prediction model for acute kidney injury in critically ill patients with advanced colorectal cancer based on white blood cell-related indicators.docx",,"acute kidney injury; colorectal cancer; eICU; prediction model; white blood cell","Background<p>Currently, most prediction models for acute kidney injury (AKI) in patients with colorectal cancer (CRC) are only applicable to postoperative situations, or rely on complex machine learning algorithms. There is currently no simple and feasible AKI prediction model for severely ill patients with advanced CRC.</p>Objective<p>This study endeavors to devise and validate a novel clinical risk prediction model utilizing white blood cell (WBC)-related indicators to forecast AKI in critically ill patients with advanced CRC.</p>Methods<p>A retrospective cohort study design was employed. The training cohort was derived from the eICU Collaborative Research Database, and the external validation cohort came from the Intensive Care Unit (ICU) of Wuhan Union Hospital. To screen for independent predictors of AKI and develop a new risk score model using multivariable logistic regression analysis. The assessment of model performance was conducted using receiver operating characteristic (ROC) curve analysis and compared with other scoring systems. The associations between different risk groups and survival outcomes as well as WBC counts were visualized using a heatmap. Kaplan-Meier survival analysis was used to compare in-hospital survival rates between the two groups. ROC curve analysis and decision curve analysis (DCA) served to evaluate the model’s predictive ability for in-hospital mortality. Subgroup analysis was applied to assess the consistency of this model across different critically ill cohorts with advanced CRC.</p>Results<p>A total of 981 critically ill patients with advanced CRC were included, of whom 185 (24.2%) from the eICU database and 59 (27.2%) from the Wuhan Union Hospital ICU developed AKI. A new risk model was successfully established: 1.271×WNR+0.709×Lg(WER)+0.085×MLR+1.225×Lg(SII). The model showed acceptable discrimination for predicting AKI, with area under the curve (AUC) of 0.746 (95% CI, 0.704-0.788) in the training set and 0.716 (95% CI, 0.633-0.798) in the validation set, and provided good clinical net benefit. For predicting in-hospital mortality, the AUCs were 0.788 (95% CI, 0.736-0.840) and 0.693 (95% CI, 0.559-0.827) in the training and validation sets, respectively.</p>Conclusion<p>This study developed a novel prediction model for AKI in critically ill patients with advanced CRC using WBC-related indicators. This model offers a simple, readily implementable tool for AKI risk stratification in critically ill patients with advanced CRC, supporting early clinical intervention and prognostic assessment.</p>",FALSE,FALSE,"figshare_reverse"
"scientific_data","/10.1038/sdata.2016.18","figshare::32090884::Data_Sheet_1_Where Is My Crop? Data-Driven Initiatives to Support Integrated Multi-Stakeholder Agricultural Decisions.docx","Data_Sheet_1_Where Is My Crop? Data-Driven Initiatives to Support Integrated Multi-Stakeholder Agricultural Decisions.docx",860865,,,"https://ndownloader.figshare.com/files/63989323",,TRUE,"plant functional trait","Data_Sheet_1_Where Is My Crop? Data-Driven Initiatives to Support Integrated Multi-Stakeholder Agricultural Decisions.docx",,"agricultural indicators; open-access datasets; cassava; rice; Crop Observatories","<p>Globally, there has been an explosion of data generation in agriculture. With such a deluge of data available, it has become essential to create solutions that organize, analyze, and visualize it to gain actionable insights, which can guide farmers, scientists, or policy makers to take better decisions that lead to transformative actions for agriculture. There is a plethora of digital innovations in agriculture that implement big data techniques to harness solutions from large amounts of data, however, there is also a significant gap in access to these innovations among stakeholders of the value chains, with smallholder's farmers facing higher risks. Open data platforms have emerged as an important source of information for this group of producers but are still far from reaching their full potential. While the growing number of such initiatives has improved the availability and reach of data, it has also made the collection and processing of this information more difficult, widening the gap between those who can process and interpret this information and those who cannot. The Crop Observatories are presented in this article as an initiative that aims to harmonize large amounts of crop-specific data from various open access sources to build relevant indicators for decision making. Observatories are being developed for rice, cassava, beans, plantain and banana, and tropical forages, containing information on production, prices, policies, breeding, agronomy, and socioeconomic variables of interest. The Observatories are expected to become a lighthouse that attracts multi-stakeholders to avoid “not see the forest for the trees” and to advance research and strengthen crop economic systems. The process of developing the Observatories, as well as the methods for data collection, analysis, and display, is described. The main results obtained by the recently launched Rice Observatory (www.riceobservatory.org), and the about to be launched Cassava Observatory are presented, contextualizing their potential use and importance for multi-stakeholders of both crops. The article concludes with a list of lessons learned and next steps for the Observatories, which are also expected to guide the development of similar initiatives. Observatories, beyond presenting themselves as an alternative for improving data-driven decision making, can become platforms for collaboration on data issues and digital innovations within each sector.</p>",FALSE,FALSE,"figshare_reverse"
"scientific_data","/10.1038/sdata.2018.160","figshare::32087901::Data Sheet 7_Glia-derived VCAM1 promotes glioma progression.csv","Data Sheet 7_Glia-derived VCAM1 promotes glioma progression.csv",4470,,,"https://ndownloader.figshare.com/files/63972363",,TRUE,"plant functional trait","Data Sheet 7_Glia-derived VCAM1 promotes glioma progression.csv",,"astrocyte; glioma; glioma stem cell-like cells; therapeutic target; VCAM1","Background<p>The dynamic interactions between glioma cells and the tumor microenvironment (TME) drive tumor progression and therapeutic resistance. VCAM1 is known to facilitate tumor metastasis in various cancers; however, its specific function in the glioma microenvironment remains poorly defined.</p>Methods<p>To elucidate VCAM1’s role in glioma, we evaluated its expression in human glioma datasets and correlated it with patient survival outcomes. Using syngeneic and primary mouse glioma models, we characterized VCAM1 expression in tumor and stromal cell populations. Furthermore, we selectively ablated VCAM1 in GLAST-positive astrocytes in a glioma-bearing mouse model to evaluate its functional impact on tumor growth and overall survival.</p>Results<p>We identified that VCAM1 is highly enriched in proliferative glioma stem cell-like cells (GSLCs); for example, 86.5% of SOX2<sup>+</sup>, 86.3% of CD133<sup>+</sup> and 93.4% of Ki67<sup>+</sup> cells co-expressed VCAM1 in the 73C glioma model. In the normal brain, VCAM1 is largely restricted to the vasculature, but it is notably expressed in TME-associated astrocytes. Crucially, the selective deletion of astrocytic VCAM1 significantly extended the median survival of glioma-bearing mice, such as from 52 to 66.5 days in a hippocampal GL261 model. However, this survival benefit depends on tumor location and genetic background, showing limited efficacy against aggressive hippocampal 73C tumors. Clinical data aligned with these findings, showing that lower VCAM1 expression correlates with prolonged survival in low-grade glioma patients, but not in glioblastoma.</p>Conclusion<p>Astrocyte-derived VCAM1 is a critical driver of glioma progression, mediating essential interactions between tumor cells and the TME. Targeting VCAM1 signaling presents a promising, microenvironment-focused therapeutic strategy, though its clinical application must account for regional and genetic tumor heterogeneity.</p>",TRUE,FALSE,"figshare_reverse"
"scientific_data","/10.1038/sdata.2018.160","figshare::32087892::Data Sheet 2_Glia-derived VCAM1 promotes glioma progression.csv","Data Sheet 2_Glia-derived VCAM1 promotes glioma progression.csv",2856921,,,"https://ndownloader.figshare.com/files/63972348",,TRUE,"plant functional trait","Data Sheet 2_Glia-derived VCAM1 promotes glioma progression.csv",,"astrocyte; glioma; glioma stem cell-like cells; therapeutic target; VCAM1","Background<p>The dynamic interactions between glioma cells and the tumor microenvironment (TME) drive tumor progression and therapeutic resistance. VCAM1 is known to facilitate tumor metastasis in various cancers; however, its specific function in the glioma microenvironment remains poorly defined.</p>Methods<p>To elucidate VCAM1’s role in glioma, we evaluated its expression in human glioma datasets and correlated it with patient survival outcomes. Using syngeneic and primary mouse glioma models, we characterized VCAM1 expression in tumor and stromal cell populations. Furthermore, we selectively ablated VCAM1 in GLAST-positive astrocytes in a glioma-bearing mouse model to evaluate its functional impact on tumor growth and overall survival.</p>Results<p>We identified that VCAM1 is highly enriched in proliferative glioma stem cell-like cells (GSLCs); for example, 86.5% of SOX2<sup>+</sup>, 86.3% of CD133<sup>+</sup> and 93.4% of Ki67<sup>+</sup> cells co-expressed VCAM1 in the 73C glioma model. In the normal brain, VCAM1 is largely restricted to the vasculature, but it is notably expressed in TME-associated astrocytes. Crucially, the selective deletion of astrocytic VCAM1 significantly extended the median survival of glioma-bearing mice, such as from 52 to 66.5 days in a hippocampal GL261 model. However, this survival benefit depends on tumor location and genetic background, showing limited efficacy against aggressive hippocampal 73C tumors. Clinical data aligned with these findings, showing that lower VCAM1 expression correlates with prolonged survival in low-grade glioma patients, but not in glioblastoma.</p>Conclusion<p>Astrocyte-derived VCAM1 is a critical driver of glioma progression, mediating essential interactions between tumor cells and the TME. Targeting VCAM1 signaling presents a promising, microenvironment-focused therapeutic strategy, though its clinical application must account for regional and genetic tumor heterogeneity.</p>",TRUE,FALSE,"figshare_reverse"
"scientific_data","/10.1038/sdata.2018.160","figshare::32087886::Data Sheet 3_Glia-derived VCAM1 promotes glioma progression.csv","Data Sheet 3_Glia-derived VCAM1 promotes glioma progression.csv",144217,,,"https://ndownloader.figshare.com/files/63972339",,TRUE,"plant functional trait","Data Sheet 3_Glia-derived VCAM1 promotes glioma progression.csv",,"astrocyte; glioma; glioma stem cell-like cells; therapeutic target; VCAM1","Background<p>The dynamic interactions between glioma cells and the tumor microenvironment (TME) drive tumor progression and therapeutic resistance. VCAM1 is known to facilitate tumor metastasis in various cancers; however, its specific function in the glioma microenvironment remains poorly defined.</p>Methods<p>To elucidate VCAM1’s role in glioma, we evaluated its expression in human glioma datasets and correlated it with patient survival outcomes. Using syngeneic and primary mouse glioma models, we characterized VCAM1 expression in tumor and stromal cell populations. Furthermore, we selectively ablated VCAM1 in GLAST-positive astrocytes in a glioma-bearing mouse model to evaluate its functional impact on tumor growth and overall survival.</p>Results<p>We identified that VCAM1 is highly enriched in proliferative glioma stem cell-like cells (GSLCs); for example, 86.5% of SOX2<sup>+</sup>, 86.3% of CD133<sup>+</sup> and 93.4% of Ki67<sup>+</sup> cells co-expressed VCAM1 in the 73C glioma model. In the normal brain, VCAM1 is largely restricted to the vasculature, but it is notably expressed in TME-associated astrocytes. Crucially, the selective deletion of astrocytic VCAM1 significantly extended the median survival of glioma-bearing mice, such as from 52 to 66.5 days in a hippocampal GL261 model. However, this survival benefit depends on tumor location and genetic background, showing limited efficacy against aggressive hippocampal 73C tumors. Clinical data aligned with these findings, showing that lower VCAM1 expression correlates with prolonged survival in low-grade glioma patients, but not in glioblastoma.</p>Conclusion<p>Astrocyte-derived VCAM1 is a critical driver of glioma progression, mediating essential interactions between tumor cells and the TME. Targeting VCAM1 signaling presents a promising, microenvironment-focused therapeutic strategy, though its clinical application must account for regional and genetic tumor heterogeneity.</p>",TRUE,FALSE,"figshare_reverse"
"scientific_data","/10.1038/sdata.2018.160","figshare::32087883::Data Sheet 4_Glia-derived VCAM1 promotes glioma progression.csv","Data Sheet 4_Glia-derived VCAM1 promotes glioma progression.csv",62932,,,"https://ndownloader.figshare.com/files/63972333",,TRUE,"plant functional trait","Data Sheet 4_Glia-derived VCAM1 promotes glioma progression.csv",,"astrocyte; glioma; glioma stem cell-like cells; therapeutic target; VCAM1","Background<p>The dynamic interactions between glioma cells and the tumor microenvironment (TME) drive tumor progression and therapeutic resistance. VCAM1 is known to facilitate tumor metastasis in various cancers; however, its specific function in the glioma microenvironment remains poorly defined.</p>Methods<p>To elucidate VCAM1’s role in glioma, we evaluated its expression in human glioma datasets and correlated it with patient survival outcomes. Using syngeneic and primary mouse glioma models, we characterized VCAM1 expression in tumor and stromal cell populations. Furthermore, we selectively ablated VCAM1 in GLAST-positive astrocytes in a glioma-bearing mouse model to evaluate its functional impact on tumor growth and overall survival.</p>Results<p>We identified that VCAM1 is highly enriched in proliferative glioma stem cell-like cells (GSLCs); for example, 86.5% of SOX2<sup>+</sup>, 86.3% of CD133<sup>+</sup> and 93.4% of Ki67<sup>+</sup> cells co-expressed VCAM1 in the 73C glioma model. In the normal brain, VCAM1 is largely restricted to the vasculature, but it is notably expressed in TME-associated astrocytes. Crucially, the selective deletion of astrocytic VCAM1 significantly extended the median survival of glioma-bearing mice, such as from 52 to 66.5 days in a hippocampal GL261 model. However, this survival benefit depends on tumor location and genetic background, showing limited efficacy against aggressive hippocampal 73C tumors. Clinical data aligned with these findings, showing that lower VCAM1 expression correlates with prolonged survival in low-grade glioma patients, but not in glioblastoma.</p>Conclusion<p>Astrocyte-derived VCAM1 is a critical driver of glioma progression, mediating essential interactions between tumor cells and the TME. Targeting VCAM1 signaling presents a promising, microenvironment-focused therapeutic strategy, though its clinical application must account for regional and genetic tumor heterogeneity.</p>",TRUE,FALSE,"figshare_reverse"
"scientific_data","/10.1038/sdata.2018.160","figshare::32087877::Data Sheet 5_Glia-derived VCAM1 promotes glioma progression.csv","Data Sheet 5_Glia-derived VCAM1 promotes glioma progression.csv",624576,,,"https://ndownloader.figshare.com/files/63972330",,TRUE,"plant functional trait","Data Sheet 5_Glia-derived VCAM1 promotes glioma progression.csv",,"astrocyte; glioma; glioma stem cell-like cells; therapeutic target; VCAM1","Background<p>The dynamic interactions between glioma cells and the tumor microenvironment (TME) drive tumor progression and therapeutic resistance. VCAM1 is known to facilitate tumor metastasis in various cancers; however, its specific function in the glioma microenvironment remains poorly defined.</p>Methods<p>To elucidate VCAM1’s role in glioma, we evaluated its expression in human glioma datasets and correlated it with patient survival outcomes. Using syngeneic and primary mouse glioma models, we characterized VCAM1 expression in tumor and stromal cell populations. Furthermore, we selectively ablated VCAM1 in GLAST-positive astrocytes in a glioma-bearing mouse model to evaluate its functional impact on tumor growth and overall survival.</p>Results<p>We identified that VCAM1 is highly enriched in proliferative glioma stem cell-like cells (GSLCs); for example, 86.5% of SOX2<sup>+</sup>, 86.3% of CD133<sup>+</sup> and 93.4% of Ki67<sup>+</sup> cells co-expressed VCAM1 in the 73C glioma model. In the normal brain, VCAM1 is largely restricted to the vasculature, but it is notably expressed in TME-associated astrocytes. Crucially, the selective deletion of astrocytic VCAM1 significantly extended the median survival of glioma-bearing mice, such as from 52 to 66.5 days in a hippocampal GL261 model. However, this survival benefit depends on tumor location and genetic background, showing limited efficacy against aggressive hippocampal 73C tumors. Clinical data aligned with these findings, showing that lower VCAM1 expression correlates with prolonged survival in low-grade glioma patients, but not in glioblastoma.</p>Conclusion<p>Astrocyte-derived VCAM1 is a critical driver of glioma progression, mediating essential interactions between tumor cells and the TME. Targeting VCAM1 signaling presents a promising, microenvironment-focused therapeutic strategy, though its clinical application must account for regional and genetic tumor heterogeneity.</p>",TRUE,FALSE,"figshare_reverse"
"scientific_data","/10.1038/sdata.2018.160","figshare::32087871::Data Sheet 6_Glia-derived VCAM1 promotes glioma progression.csv","Data Sheet 6_Glia-derived VCAM1 promotes glioma progression.csv",10668,,,"https://ndownloader.figshare.com/files/63972321",,TRUE,"plant functional trait","Data Sheet 6_Glia-derived VCAM1 promotes glioma progression.csv",,"astrocyte; glioma; glioma stem cell-like cells; therapeutic target; VCAM1","Background<p>The dynamic interactions between glioma cells and the tumor microenvironment (TME) drive tumor progression and therapeutic resistance. VCAM1 is known to facilitate tumor metastasis in various cancers; however, its specific function in the glioma microenvironment remains poorly defined.</p>Methods<p>To elucidate VCAM1’s role in glioma, we evaluated its expression in human glioma datasets and correlated it with patient survival outcomes. Using syngeneic and primary mouse glioma models, we characterized VCAM1 expression in tumor and stromal cell populations. Furthermore, we selectively ablated VCAM1 in GLAST-positive astrocytes in a glioma-bearing mouse model to evaluate its functional impact on tumor growth and overall survival.</p>Results<p>We identified that VCAM1 is highly enriched in proliferative glioma stem cell-like cells (GSLCs); for example, 86.5% of SOX2<sup>+</sup>, 86.3% of CD133<sup>+</sup> and 93.4% of Ki67<sup>+</sup> cells co-expressed VCAM1 in the 73C glioma model. In the normal brain, VCAM1 is largely restricted to the vasculature, but it is notably expressed in TME-associated astrocytes. Crucially, the selective deletion of astrocytic VCAM1 significantly extended the median survival of glioma-bearing mice, such as from 52 to 66.5 days in a hippocampal GL261 model. However, this survival benefit depends on tumor location and genetic background, showing limited efficacy against aggressive hippocampal 73C tumors. Clinical data aligned with these findings, showing that lower VCAM1 expression correlates with prolonged survival in low-grade glioma patients, but not in glioblastoma.</p>Conclusion<p>Astrocyte-derived VCAM1 is a critical driver of glioma progression, mediating essential interactions between tumor cells and the TME. Targeting VCAM1 signaling presents a promising, microenvironment-focused therapeutic strategy, though its clinical application must account for regional and genetic tumor heterogeneity.</p>",TRUE,FALSE,"figshare_reverse"
"scientific_data","/10.1038/sdata.2018.160","figshare::32087865::Data Sheet 1_Glia-derived VCAM1 promotes glioma progression.pdf","Data Sheet 1_Glia-derived VCAM1 promotes glioma progression.pdf",1513505,,,"https://ndownloader.figshare.com/files/63972318",,TRUE,"plant functional trait","Data Sheet 1_Glia-derived VCAM1 promotes glioma progression.pdf",,"astrocyte; glioma; glioma stem cell-like cells; therapeutic target; VCAM1","Background<p>The dynamic interactions between glioma cells and the tumor microenvironment (TME) drive tumor progression and therapeutic resistance. VCAM1 is known to facilitate tumor metastasis in various cancers; however, its specific function in the glioma microenvironment remains poorly defined.</p>Methods<p>To elucidate VCAM1’s role in glioma, we evaluated its expression in human glioma datasets and correlated it with patient survival outcomes. Using syngeneic and primary mouse glioma models, we characterized VCAM1 expression in tumor and stromal cell populations. Furthermore, we selectively ablated VCAM1 in GLAST-positive astrocytes in a glioma-bearing mouse model to evaluate its functional impact on tumor growth and overall survival.</p>Results<p>We identified that VCAM1 is highly enriched in proliferative glioma stem cell-like cells (GSLCs); for example, 86.5% of SOX2<sup>+</sup>, 86.3% of CD133<sup>+</sup> and 93.4% of Ki67<sup>+</sup> cells co-expressed VCAM1 in the 73C glioma model. In the normal brain, VCAM1 is largely restricted to the vasculature, but it is notably expressed in TME-associated astrocytes. Crucially, the selective deletion of astrocytic VCAM1 significantly extended the median survival of glioma-bearing mice, such as from 52 to 66.5 days in a hippocampal GL261 model. However, this survival benefit depends on tumor location and genetic background, showing limited efficacy against aggressive hippocampal 73C tumors. Clinical data aligned with these findings, showing that lower VCAM1 expression correlates with prolonged survival in low-grade glioma patients, but not in glioblastoma.</p>Conclusion<p>Astrocyte-derived VCAM1 is a critical driver of glioma progression, mediating essential interactions between tumor cells and the TME. Targeting VCAM1 signaling presents a promising, microenvironment-focused therapeutic strategy, though its clinical application must account for regional and genetic tumor heterogeneity.</p>",FALSE,FALSE,"figshare_reverse"
